cristal  cb85_15_7
  1.000000    0.000000
  0.950000    0.010714
  0.900000    0.021429
  0.850000    0.032000
  0.800000    0.044571
  0.750000    0.057143
  0.700000    0.071429
  0.650000    0.083714
  0.600000    0.094571
  0.550000    0.103429
  0.500000    0.108857
  0.450000    0.112286
  0.400000    0.113429
  0.350000    0.112000
  0.300000    0.108857
  0.250000    0.103429
  0.200000    0.094571
  0.150000    0.082000
  0.100000    0.067714
  0.050000    0.044571
  0.010000    0.016000
  0.000000    0.000000
  0.010000   -0.010571
  0.050000   -0.023143
  0.100000   -0.032286
  0.150000   -0.035714
  0.200000   -0.037429
  0.250000   -0.039143
  0.300000   -0.042000
  0.350000   -0.042857
  0.400000   -0.043429
  0.450000   -0.042857
  0.500000   -0.042000
  0.550000   -0.039143
  0.600000   -0.037429
  0.650000   -0.032857
  0.700000   -0.028571
  0.750000   -0.021429
  0.800000   -0.014286
  0.850000   -0.005143
  0.900000    0.000857
  0.950000    0.003143
  1.000000    0.000000
